Title_Pinyin,Title,Title_Translation,Title_Abbreviation,Category,Associated_Location,Date,Author,Author_Pinyin,Author_Dates,Author2,Author2_Pinyin,Author3,Author3_Pinyin,Edition,Editor,Editor_Pinyin,Editor2,Editor2_Pinyin,Publication_Date,Publishing_House,Publication_Location,Sub-edition,Sub-edition_Pinyin,Sub-edition_Translation,Sub-edition_Author,Sub-edition_Author_Pinyin,Sub-edition_Author_CBDB,Digital_Edition,Collection,Link,Note,
Yuanshi shifan,袁氏世範,House Instructions of Mr. Yuan,,儒家,,1193,袁菜,Yuan Cai,,,,,,,,,,,,,,田產界至宜分明,tianchan jiezhi yi fenming,the importance of clear property boundaries,,,,Wikisource,,https://zh.wikisource.org/wiki/%E8%A2%81%E6%B0%8F%E4%B8%96%E7%AF%84/%E5%8D%B7%E4%B9%8B%E4%B8%8B#%E7%94%B0%E7%94%A2%E7%95%8C%E8%87%B3%E5%AE%9C%E5%88%86%E6%98%8E,,
Guangxu Jiangxi tongzhi,光緒江西通志,,,地方誌,,1881,曾國藩,Zeng Guofan,,劉坤一,Liu Kunyi,,,,,,,,,,,九江關,Jiujiang guan,Jiujiang customs station,,,,LoGaRT,中國方志庫一集,,,
Guangxu Jiangxi tongzhi,光緒江西通志,,,地方誌,,1881,曾國藩,Zeng Guofan,,劉坤一,Liu Kunyi,,,,,,,,,,,贛關,Gan guang,Ganzhou customs station,,,,LoGaRT,中國方志庫一集,,,
Jiaqing Yuhang xianzhi,嘉慶餘杭縣志,,,地方誌,餘杭縣,1820,張吉安修,Zhang Ji'an,,朱文藻纂,Zhu Wenzao,,,民國八年重刊本,,,,,1919,,,物產,wuchan,products,,,,LoGaRT,中國方志庫一集,,,
Jiajing Ningbo fuzhi,嘉靖寧波府志,,,地方誌,寧波,1559,张时徹,Zhang Shiche,,,,,,,,,,,,,,,,,,,,LoGaRT,中國方志庫一集,,,
Jiajing Guangxin fuzhi,嘉靖廣信府志,,,地方誌,廣信,1526,張士鎬修,Zhang Shigao,,江汝璧纂,Jiang Rubi,,,明嘉靖刻本,,,,,,,,,,,,,,,天一閣藏明代方志選刊,,,
Zhizheng Jinling xin zhi,至正金陵新志,New Jinling Gazetteer,,地方誌,南京,1344,張鉉,Zhang Xuan,,,,,,清文淵閣四庫全書本,,,,,,,,田賦志,tianfu zhi,land tax,,,,LoGaRT,中國方志庫一集,,,
Ming shi,明史,History of the Ming,,正史,,1739,張廷玉,Zhang Yanyu,,,,,,四庫全書本,,,,,,,,戶口田制屯田莊田,huku tianzhi tuntian zhuangtian,"population, land oversight, military farms, and estates",,,,Wikisource,,https://zh.wikisource.org/wiki/%E6%98%8E%E5%8F%B2/%E5%8D%B777,,
Ming shi,明史,History of the Ming,,正史,,1739,張廷玉,Zhang Yanyu,,,,,,四庫全書本,,,,,,,,鹽法茶法,yanfa chafa,salt regulations and tea regulations,,,,Wikisource,,https://zh.wikisource.org/wiki/%E6%98%8E%E5%8F%B2/%E5%8D%B780,,
Ming shi,明史,History of the Ming,,正史,,1739,張廷玉,Zhang Yanyu,,,,,,四庫全書本,,,,,,,,上供採造,shanggong cai zao,"direct supply, requisitions, and construction",,,,Wikisource,,https://zh.wikisource.org/wiki/%E6%98%8E%E5%8F%B2/%E5%8D%B782,,
